Date,T,U
2017-11-12,5.179166666666666,91.125
2017-11-13,3.547826086956522,85.34782608695652
2017-11-14,1.0750000000000002,94.45833333333333
2017-11-15,1.1958333333333333,96.29166666666667
2017-11-16,2.9249999999999994,93.29166666666667
2017-11-17,3.1999999999999993,95.70833333333333
2017-11-18,4.279166666666668,83.375
2017-11-19,3.8749999999999996,85.08333333333333
2017-11-20,3.4541666666666657,87.0
2017-11-21,6.916666666666667,88.79166666666667
2017-11-22,6.979166666666667,84.41666666666667
2017-11-23,7.1041666666666705,78.0
2017-11-24,10.820833333333333,75.79166666666667
2017-11-25,6.304166666666666,90.70833333333333
2017-11-26,2.4173913043478263,83.30434782608695
2017-11-27,3.1875,85.41666666666667
2017-11-28,3.8041666666666667,92.58333333333333
2017-11-29,1.3,93.29166666666667
2017-11-30,0.375,93.33333333333333
2017-12-01,3.3499999999999996,81.04166666666667
2017-12-02,0.2083333333333334,85.95833333333333
2017-12-03,5.579166666666666,63.875
2017-12-04,11.124999999999998,54.833333333333336
2017-12-05,15.808333333333328,76.41666666666667
2017-12-06,21.42916666666667,56.916666666666664
2017-12-07,17.666666666666668,83.79166666666667
2017-12-08,14.645833333333334,83.5
2017-12-09,13.404166666666669,70.625
2017-12-10,13.275,80.875
2017-12-11,2.558333333333333,96.375
2017-12-12,3.1166666666666667,74.54166666666667
2017-12-13,1.683333333333333,82.91666666666667
2017-12-14,4.470833333333334,77.91666666666667
2017-12-15,2.587499999999999,91.58333333333333
2017-12-16,1.9333333333333338,90.66666666666667
2017-12-17,1.420833333333334,87.125
2017-12-18,0.22499999999999998,89.29166666666667
2017-12-19,-2.4054832200211723e-16,93.79166666666667
2017-12-20,2.441666666666667,96.16666666666667
2017-12-21,4.862500000000001,96.79166666666667
2017-12-22,6.241666666666667,96.29166666666667
2017-12-23,6.849999999999999,90.33333333333333
2017-12-24,6.529166666666666,85.83333333333333
2017-12-25,3.2083333333333335,90.625
2017-12-26,2.1458333333333344,86.08333333333333
2017-12-27,2.558333333333333,83.54166666666667
2017-12-28,2.3458333333333328,83.95833333333333
2017-12-29,0.12083333333333324,82.16666666666667
2017-12-30,4.591666666666667,92.91666666666667
